Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A897502,*Spaghetti Western,2/6/2024 16:25,24-Feb,9/6/2023,Adoption,,Dog,Neutered Male,5 months,Cane Corso/Great Dane,Black
A897722,Midnight,2/6/2024 16:29,24-Feb,2/6/2022,Return to Owner,,Dog,Neutered Male,2 years,Labrador Retriever/Great Pyrenees,Black
A896157,*Teenie Marie,2/6/2024 16:37,24-Feb,11/11/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A889620,*Jean,2/6/2024 16:42,24-Feb,8/25/2023,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair,Tortie
A897312,,2/6/2024 17:26,24-Feb,1/31/2023,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A896988,Apollo,2/6/2024 17:33,24-Feb,12/25/2021,Adoption,,Dog,Neutered Male,2 years,Rottweiler,Black/Brown
A897307,Mizu,2/6/2024 17:59,24-Feb,1/30/2023,Adoption,,Dog,Neutered Male,1 year,Alaskan Husky Mix,Black/White
A897359,Cannoli,2/6/2024 18:03,24-Feb,5/31/2023,Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair,Calico
A897362,*Missy,2/6/2024 18:07,24-Feb,1/31/2022,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Calico Point
A875909,Tofu,2/6/2024 18:22,24-Feb,12/30/2022,Adoption,,Dog,Spayed Female,1 year,Siberian Husky,White
A892680,*Diva,2/7/2024 10:26,24-Feb,9/14/2023,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair,Brown Tabby
A892679,*Beastie,2/7/2024 10:28,24-Feb,9/14/2023,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair,Brown Tabby
A896066,Michelangelo,2/7/2024 10:45,24-Feb,1/8/2023,Adoption,Foster,Dog,Neutered Male,1 year,Doberman Pinsch,Black/Brown
A794544,*Ducky,2/7/2024 11:45,24-Feb,5/9/2017,Adoption,Foster,Dog,Neutered Male,6 years,Pit Bull Mix,Yellow Brindle/White
A897657,Ray,2/7/2024 11:46,24-Feb,10/1/2017,Return to Owner,,Dog,Neutered Male,6 years,Alaskan Husky Mix,Black/White
A662162,Mikey,2/7/2024 11:46,24-Feb,3/2/2013,Return to Owner,,Dog,Neutered Male,10 years,Border Collie Mix,Black/White
A888774,*Rhinestone,2/7/2024 12:31,24-Feb,9/13/2018,Adoption,Foster,Dog,Spayed Female,5 years,Pit Bull Mix,White
A895327,Oatmeal,2/7/2024 12:41,24-Feb,12/27/2021,Adoption,,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Blue Tick
A892434,*Mick,2/7/2024 12:58,24-Feb,5/20/2022,Adoption,,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,White/Brown Brindle
A896927,Lila,2/7/2024 13:33,24-Feb,11/30/2020,Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair,Black/White
A893773,*Mac,2/7/2024 15:49,24-Feb,11/28/2022,Adoption,Foster,Dog,Neutered Male,1 year,Labrador Retriever,Tan
A893743,,2/7/2024 16:12,24-Feb,11/27/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A850740,Franklin,2/7/2024 16:21,24-Feb,1/20/2021,Adoption,Foster,Dog,Neutered Male,3 years,Boxer/Pit Bull,Brown/White
A897835,Lola,2/7/2024 16:45,24-Feb,2/7/2019,Return to Owner,,Dog,Intact Female,5 years,Pit Bull,Red/White
A897836,Toby,2/7/2024 16:46,24-Feb,2/7/2020,Return to Owner,,Dog,Neutered Male,4 years,German Shepherd,Tan/Black
A897391,Paco,2/7/2024 17:02,24-Feb,2/1/2012,Return to Owner,,Dog,Neutered Male,12 years,Labrador Retriever/Pit Bull,Brown Brindle
A897182,Doodie,2/7/2024 17:06,24-Feb,1/28/2023,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Black/White
A897528,,2/7/2024 17:43,24-Feb,7/3/2023,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair,Brown Tabby
A897455,Fiona,2/7/2024 18:04,24-Feb,11/17/2023,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever/Pit Bull,Black/White
A897524,,2/7/2024 18:23,24-Feb,2/3/2023,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Lynx Point
A884109,Buddy Gumdrops,2/7/2024 18:35,24-Feb,12/2/2022,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Tricolor
A896572,Tank,2/7/2024 18:44,24-Feb,4/29/2018,Adoption,,Dog,Neutered Male,5 years,Pit Bull Mix,Tan/Brown
A897841,,2/7/2024 18:45,24-Feb,2/7/2022,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever Mix,Tan
A894574,Captain,2/8/2024 9:38,24-Feb,12/12/2019,Adoption,Foster,Dog,Neutered Male,4 years,Siberian Husky,Black/White
A895873,*Sara,2/8/2024 9:44,24-Feb,11/20/2023,Adoption,Foster,Dog,Spayed Female,2 months,Border Collie Mix,Black/White
A893376,*Gumdrop,2/8/2024 9:50,24-Feb,2/10/2023,Adoption,Foster,Dog,Neutered Male,11 months,Pug/Pit Bull,Black
A896251,Lily,2/8/2024 9:59,24-Feb,1/11/2014,Adoption,Foster,Cat,Spayed Female,10 years,Domestic Longhair Mix,Black
A895469,*Petunia,2/8/2024 10:07,24-Feb,11/20/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A895466,*Bear,2/8/2024 10:08,24-Feb,11/20/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair,Black
A891861,*Acorn,2/8/2024 10:13,24-Feb,12/11/2022,Adoption,Foster,Dog,Spayed Female,1 year,Black Mouth Cur,Tan
A893646,*Moonpie,2/8/2024 10:18,24-Feb,7/26/2023,Adoption,Foster,Dog,Spayed Female,6 months,Chihuahua Shorthair Mix,Buff
A897790,Leo,2/8/2024 11:25,24-Feb,8/9/2020,Return to Owner,,Dog,Neutered Male,3 years,Pembroke Welsh Corgi,Red/White
A789949,Kairo,2/8/2024 11:26,24-Feb,3/2/2017,Adoption,Foster,Dog,Neutered Male,6 years,Akita Mix,Brown/White
A897867,Jackson,2/8/2024 12:11,24-Feb,6/8/2023,Return to Owner,,Dog,Neutered Male,8 months,Australian Shepherd/Miniature Poodle,Black/White
A897672,Leo,2/8/2024 12:26,24-Feb,1/8/2023,Return to Owner,,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby
A897843,,2/8/2024 12:39,24-Feb,2/7/2023,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair,Black Smoke
A897649,Shyra,2/8/2024 12:53,24-Feb,2/5/2017,Transfer,Partner,Cat,Spayed Female,7 years,Domestic Shorthair,White/Brown Tabby
A897588,,2/8/2024 12:54,24-Feb,2/4/2022,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair,Black
A890801,*Scarlett,2/8/2024 14:06,24-Feb,4/12/2023,Adoption,,Dog,Spayed Female,9 months,Belgian Malinois,Tan/Black
A897647,Angelo,2/8/2024 14:25,24-Feb,2/5/2017,Adoption,,Cat,Neutered Male,7 years,Domestic Longhair,White
A897883,Nacho,2/8/2024 14:26,24-Feb,2/8/2009,Return to Owner,,Dog,Neutered Male,15 years,Pomeranian,Red
A897691,*Jigs,2/8/2024 15:21,24-Feb,2/5/2009,Adoption,,Dog,Neutered Male,15 years,Jack Russell Terrier/Chihuahua Shorthair,Black/White
A839084,Phineas,2/8/2024 15:26,24-Feb,7/16/2020,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Fawn/White
A897306,,2/8/2024 16:01,24-Feb,7/30/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A897540,,2/8/2024 16:11,24-Feb,2/3/2022,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby/White
A897892,,2/8/2024 16:13,24-Feb,1/8/2024,Transfer,Partner,Dog,Intact Male,4 weeks,Pit Bull Mix,Brown Brindle/White
A897894,,2/8/2024 16:14,24-Feb,1/8/2024,Transfer,Partner,Dog,Intact Female,4 weeks,Pit Bull Mix,Brown Brindle/White
A897893,,2/8/2024 16:14,24-Feb,1/8/2024,Transfer,Partner,Dog,Intact Male,4 weeks,Pit Bull Mix,Brown Brindle/White
A897895,,2/8/2024 16:15,24-Feb,1/8/2024,Transfer,Partner,Dog,Intact Female,4 weeks,Pit Bull Mix,Tan/White
A897896,,2/8/2024 16:16,24-Feb,1/8/2024,Transfer,Partner,Dog,Intact Female,4 weeks,Pit Bull Mix,Tan/White
A897897,,2/8/2024 16:17,24-Feb,1/8/2024,Transfer,Partner,Dog,Intact Female,4 weeks,Pit Bull Mix,Tan/White
A897898,,2/8/2024 16:17,24-Feb,1/8/2024,Transfer,Partner,Dog,Intact Female,4 weeks,Pit Bull Mix,Tan/White
A897522,,2/8/2024 17:02,24-Feb,10/4/2023,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Blue Tabby
A897523,,2/8/2024 17:02,24-Feb,9/3/2023,Adoption,,Cat,Neutered Male,5 months,Domestic Medium Hair,Blue Tabby
A896219,*Hank,2/8/2024 17:07,24-Feb,11/26/2023,Adoption,Foster,Dog,Neutered Male,2 months,Cairn Terrier,White/Tan
A897773,*Jimmy,2/8/2024 17:07,24-Feb,8/6/2023,Adoption,,Dog,Neutered Male,6 months,Catahoula,White/Brown
A896794,*Hazel,2/8/2024 17:18,24-Feb,9/7/2023,Adoption,Foster,Dog,Spayed Female,5 months,Pointer/Labrador Retriever,White/Chocolate
A896914,,2/8/2024 17:29,24-Feb,1/24/2022,Adoption,,Dog,Neutered Male,2 years,Chihuahua Longhair,Brown/Black
A884594,Gordo,2/8/2024 18:16,24-Feb,7/5/2021,Return to Owner,,Dog,Intact Male,2 years,Jack Russell Terrier Mix,White/Tan
A897578,Raven,2/8/2024 18:20,24-Feb,11/12/2023,Adoption,,Dog,Spayed Female,2 months,Staffordshire,Black/White
A896327,Louisa,2/8/2024 18:21,24-Feb,2/2/2023,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair,Red
A897579,Luna,2/8/2024 18:33,24-Feb,11/12/2023,Adoption,,Dog,Spayed Female,2 months,Staffordshire,Black/White
A891979,Sydney,2/8/2024 18:46,24-Feb,10/30/2021,Adoption,,Dog,Spayed Female,2 years,Siberian Husky Mix,Black/White
A897901,213 Grams,2/8/2024 18:49,24-Feb,1/12/2024,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Lynx Point/White
A896153,Travis,2/9/2024 11:38,24-Feb,1/10/2013,Adoption,Foster,Dog,Neutered Male,11 years,Rottweiler,Black/Brown
A896784,Kovu,2/9/2024 11:43,24-Feb,1/21/2022,Adoption,,Dog,Neutered Male,2 years,Siberian Husky,Black/Gray
A897163,Loki,2/9/2024 12:20,24-Feb,7/28/2023,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Brown Tiger/White
A873507,Kobe,2/9/2024 13:57,24-Feb,3/27/2018,Transfer,Partner,Dog,Intact Male,5 years,Maltese,White
A897300,,2/9/2024 14:12,24-Feb,1/30/2017,Transfer,Partner,Dog,Intact Male,7 years,Boston Terrier,Black/White
A897937,,2/9/2024 14:17,24-Feb,2/9/2023,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tiger
A897856,Bandit,2/9/2024 14:23,24-Feb,2/7/2022,Return to Owner,,Dog,Intact Male,2 years,Pit Bull,White
A897659,,2/9/2024 14:57,24-Feb,12/14/2023,Adoption,,Dog,Neutered Male,1 month,Australian Cattle Dog,Black Brindle/White
A897874,Negra,2/9/2024 15:08,24-Feb,2/8/2020,Return to Owner,,Dog,Intact Female,4 years,Chihuahua Shorthair Mix,Black/Tan
A896270,Ethan,2/9/2024 15:56,24-Feb,1/12/2021,Transfer,Snr,Cat,Neutered Male,3 years,Domestic Medium Hair,Blue/White
A897972,Tiny,2/9/2024 16:02,24-Feb,12/15/2023,Transfer,Partner,Dog,Intact Female,1 month,Pug,Black
A897617,Rocky,2/9/2024 16:11,24-Feb,12/14/2023,Adoption,,Dog,Neutered Male,1 month,Pit Bull Mix,Blue/White
A897616,,2/9/2024 16:28,24-Feb,12/14/2023,Adoption,,Dog,Spayed Female,1 month,Pit Bull Mix,Blue/White
A897692,Lucy,2/9/2024 16:39,24-Feb,2/5/2009,Adoption,,Dog,Spayed Female,15 years,Chihuahua Shorthair Mix,Black/White
A897619,Daisy,2/9/2024 16:44,24-Feb,12/14/2023,Adoption,,Dog,Spayed Female,1 month,Pit Bull Mix,Blue/White
A897614,,2/9/2024 17:10,24-Feb,12/14/2023,Adoption,,Dog,Neutered Male,1 month,Pit Bull Mix,Blue/White
A897683,*Ollie,2/9/2024 17:14,24-Feb,12/14/2023,Adoption,,Dog,Neutered Male,1 month,Labrador Retriever,Black
A897621,Ace,2/9/2024 17:26,24-Feb,12/14/2023,Adoption,,Dog,Neutered Male,1 month,Pit Bull Mix,Sable/White
A894018,*Avocado,2/9/2024 17:30,24-Feb,11/25/2023,Return to Owner,,Dog,Neutered Male,2 months,Alaskan Husky Mix,Tricolor
A897620,,2/9/2024 17:39,24-Feb,12/14/2023,Adoption,,Dog,Neutered Male,1 month,Pit Bull Mix,Sable/White
A897982,,2/9/2024 17:40,24-Feb,12/9/2023,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair,Blue/White
A897393,*Drew Scott,2/9/2024 17:57,24-Feb,2/1/2023,Adoption,,Dog,Neutered Male,1 year,Siberian Husky,White/Red
A897394,*Jonathan Scott,2/9/2024 17:57,24-Feb,8/1/2022,Adoption,,Dog,Neutered Male,1 year,Siberian Husky,Red/White
A897618,,2/9/2024 18:29,24-Feb,12/14/2023,Adoption,,Dog,Neutered Male,1 month,Pit Bull Mix,Blue/White
A895370,Franklin,2/9/2024 18:34,24-Feb,8/12/2023,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,Blue
A892199,*Onyx,2/9/2024 18:38,24-Feb,11/2/2018,Adoption,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black
A743149,Red,2/10/2024 0:00,24-Feb,2/4/2016,Transfer,Partner,Dog,Intact Male,8 years,Plott Hound Mix,Brown
A897406,*Ichigo,2/10/2024 0:00,24-Feb,2/1/2022,Transfer,Partner,Dog,Intact Male,2 years,Labrador Retriever,Red/White
A897623,Penelope,2/10/2024 11:22,24-Feb,4/5/2023,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair,White/Brown Tabby
A895736,Toshiro,2/10/2024 11:32,24-Feb,1/3/2021,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair,Brown Tabby/White
A896928,Sparkles,2/10/2024 11:58,24-Feb,3/2/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Lynx Point/White
A897543,Skittles,2/10/2024 11:59,24-Feb,12/14/2023,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever,Black
A895147,*Yams,2/10/2024 12:15,24-Feb,6/22/2022,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Red
A896564,*Daisy,2/10/2024 12:31,24-Feb,1/17/2023,Adoption,,Cat,Spayed Female,1 year,Cymric Mix,Orange Tabby
A890175,*Badger,2/10/2024 13:02,24-Feb,10/3/2021,Adoption,,Dog,Neutered Male,2 years,Pit Bull,Blue/White
A897363,Nelson,2/10/2024 13:31,24-Feb,1/31/2022,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Torbie
A896528,*Buddy,2/10/2024 13:37,24-Feb,10/24/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A897738,Opus,2/10/2024 13:54,24-Feb,2/6/2022,Adoption,,Cat,Neutered Male,2 years,Domestic Longhair,Black/White
A828751,Flip,2/10/2024 14:11,24-Feb,5/25/2020,Adoption,,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Blue Tick/Tricolor
A876629,*Carl,2/10/2024 14:21,24-Feb,9/1/2019,Adoption,,Dog,Neutered Male,4 years,American Staffordshire Terrier Mix,Black/White
A897846,Sparkie,2/10/2024 14:37,24-Feb,2/7/2023,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,White/Brown Tabby
A897658,,2/10/2024 14:48,24-Feb,12/14/2023,Adoption,,Dog,Spayed Female,1 month,Australian Cattle Dog,Black Brindle/White
A897845,Sharkie,2/10/2024 15:02,24-Feb,2/7/2023,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby/White
A896563,,2/10/2024 15:06,24-Feb,12/12/2023,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair,Cream
A893742,*Foxy Brown,2/10/2024 15:10,24-Feb,11/27/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A897574,,2/10/2024 15:14,24-Feb,11/19/2023,Adoption,,Dog,Neutered Male,2 months,Schnauzer Giant Mix,Tricolor
A800648,*Augie,2/10/2024 15:21,24-Feb,7/24/2018,Adoption,Foster,Dog,Neutered Male,5 years,Black Mouth Cur Mix,Tan/Black
A896612,Ranger,2/10/2024 15:21,24-Feb,7/18/2022,Adoption,,Dog,Neutered Male,1 year,Siberian Husky Mix,Black/Tricolor
A897663,,2/10/2024 16:13,24-Feb,12/14/2023,Adoption,,Dog,Neutered Male,1 month,Australian Cattle Dog,White/Brown Brindle
A897662,,2/10/2024 16:24,24-Feb,12/14/2023,Adoption,,Dog,Spayed Female,1 month,Australian Cattle Dog,White/Brown Brindle
A889492,Mongo,2/10/2024 16:36,24-Feb,3/23/2020,Adoption,,Dog,Neutered Male,3 years,American Bulldog Mix,Black/White
A893615,*Igor,2/10/2024 17:19,24-Feb,11/25/2021,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A869428,Cocoa,2/10/2024 17:42,24-Feb,6/18/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Black/White
A889962,*Pesto,2/10/2024 17:52,24-Feb,10/3/2021,Adoption,,Dog,Neutered Male,2 years,Rhod Ridgeback,Brown/Black
A897311,*Eliza,2/10/2024 17:57,24-Feb,1/31/2023,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby
A897739,*Cupcake,2/10/2024 18:20,24-Feb,2/6/2012,Adoption,,Dog,Spayed Female,12 years,Chihuahua Shorthair,White/Tan
A896949,Obsidian,2/10/2024 18:23,24-Feb,1/24/2022,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
A897424,Puck,2/10/2024 18:36,24-Feb,8/19/2023,Adoption,,Dog,Neutered Male,5 months,Border Collie/Field Spaniel,Black/White
A897018,Cinnamon,2/10/2024 18:52,24-Feb,1/25/2023,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby/White
A897763,Rosie,2/11/2024 13:19,24-Feb,8/6/2019,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair,Brown/White
A897698,*Purrty,2/11/2024 14:21,24-Feb,7/5/2023,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair,Brown Tabby
A888804,Pepper,2/11/2024 14:22,24-Feb,9/13/2021,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White
A897660,Imogene,2/11/2024 14:42,24-Feb,12/14/2023,Adoption,,Dog,Spayed Female,1 month,Australian Cattle Dog,Black Brindle/White
A897931,A897931,2/11/2024 15:06,24-Feb,2/8/2022,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White
A897162,Bourbon,2/11/2024 15:08,24-Feb,4/15/2023,Transfer,Partner,Dog,Neutered Male,9 months,Rottweiler/Labrador Retriever,Black/Brown
A896935,*Peaches,2/11/2024 15:45,24-Feb,1/24/2022,Adoption,,Dog,Spayed Female,2 years,Golden Retriever Mix,Gold
A897849,,2/11/2024 16:36,24-Feb,2/7/2020,Transfer,Partner,Dog,Intact Female,4 years,Anatol Shepherd Mix,White/Black
A897615,Iris,2/11/2024 16:56,24-Feb,12/14/2023,Adoption,,Dog,Spayed Female,1 month,Pit Bull Mix,Blue/White
A897502,*Spaghetti Western,2/11/2024 16:56,24-Feb,9/6/2023,Adoption,,Dog,Neutered Male,5 months,Cane Corso/Great Dane,Black
A897034,Loudmouth,2/11/2024 17:00,24-Feb,1/26/2017,Transfer,Partner,Cat,Intact Male,7 years,Domestic Shorthair Mix,Brown Tabby/White
A897661,Boss,2/11/2024 18:46,24-Feb,12/14/2023,Adoption,,Dog,Neutered Male,1 month,Australian Cattle Dog,Brown Brindle/White
A897735,,2/12/2024 7:39,24-Feb,2/6/2022,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A897757,,2/12/2024 7:39,24-Feb,2/6/2023,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair,Black
A897951,,2/12/2024 7:40,24-Feb,2/9/2023,Transfer,Snr,Cat,Unknown,1 year,Domestic Medium Hair,Brown Tabby/White
A897671,,2/12/2024 7:41,24-Feb,10/5/2023,Transfer,Snr,Cat,Unknown,4 months,Domestic Shorthair,Brown Tabby/White
A897651,,2/12/2024 7:42,24-Feb,2/5/2022,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby/White
A897681,Missi,2/12/2024 8:30,24-Feb,2/5/2023,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair,Brown Tabby/White
A897650,,2/12/2024 8:31,24-Feb,2/5/2022,Transfer,Snr,Cat,Intact Male,2 years,Domestic Medium Hair,Orange Tabby
A897135,*Mimi,2/12/2024 8:31,24-Feb,1/27/2023,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,White/Gray Tabby
A897682,,2/12/2024 8:31,24-Feb,2/5/2023,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair,Brown Tabby
A897921,,2/12/2024 8:32,24-Feb,2/8/2022,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby
A897331,,2/12/2024 8:33,24-Feb,1/31/2023,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby/Gray
A897760,Chalanca,2/12/2024 10:25,24-Feb,8/6/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Calico
A770204,Kamrie,2/12/2024 10:53,24-Feb,2/16/2018,Adoption,Foster,Dog,Spayed Female,5 years,Border Collie Mix,Black/White
A897942,Chloe,2/12/2024 11:35,24-Feb,2/9/2022,Return to Owner,,Dog,Intact Female,2 years,Pit Bull,Brown Brindle/White
A898057,Oso,2/12/2024 11:47,24-Feb,5/1/2023,Return to Owner,,Dog,Intact Male,9 months,Chow Chow,Brown
A896346,Hulk,2/12/2024 12:07,24-Feb,1/13/2022,Adoption,,Dog,Neutered Male,2 years,Anatol Shepherd,Brown/Black
A897837,Maizey,2/12/2024 13:28,24-Feb,12/7/2023,Adoption,,Dog,Intact Female,2 months,Great Pyrenees Mix,White/Black
A854861,Thoths,2/12/2024 14:00,24-Feb,4/10/2020,Transfer,Partner,Dog,Spayed Female,3 years,Chow Chow,Black
A817120,Thontee,2/12/2024 14:00,24-Feb,5/8/2018,Transfer,Partner,Dog,Spayed Female,5 years,Chow Chow,Blue
A895691,Romeo,2/12/2024 14:05,24-Feb,7/14/2023,Adoption,,Dog,Neutered Male,7 months,Labrador Retriever/Pit Bull,Black
A896685,*Willow,2/12/2024 15:06,24-Feb,1/19/2022,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan
A897544,,2/12/2024 15:27,24-Feb,12/14/2023,Adoption,,Dog,Intact Female,1 month,Labrador Retriever,Black/Brown Brindle
A897673,,2/12/2024 16:13,24-Feb,12/14/2023,Adoption,,Dog,Spayed Female,1 month,German Shepherd,Brown/White
A898113,Gigi,2/12/2024 16:21,24-Feb,12/29/2013,Return to Owner,,Dog,Spayed Female,10 years,Miniature Poodle,White/Black
A897512,*Khalid,2/12/2024 16:29,24-Feb,2/2/2022,Adoption,,Dog,Neutered Male,2 years,German Shepherd,Brown/Black
A897749,,2/12/2024 16:32,24-Feb,12/6/2023,Adoption,,Dog,Spayed Female,2 months,Great Pyrenees,White
A897784,,2/12/2024 16:45,24-Feb,2/7/2020,Adoption,,Dog,Neutered Male,4 years,Miniature Poodle/Maltese,White
A898101,,2/12/2024 16:46,24-Feb,11/27/2023,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever Mix,Brown
A897748,,2/12/2024 17:00,24-Feb,12/6/2023,Adoption,,Dog,Neutered Male,2 months,Great Pyrenees,White
A897747,,2/12/2024 17:07,24-Feb,12/6/2023,Adoption,,Dog,Neutered Male,2 months,Great Pyrenees,White
A897909,Murphy,2/12/2024 17:33,24-Feb,2/8/2023,Adoption,,Dog,Neutered Male,1 year,Border Collie/Pembroke Welsh Corgi,Tan/White
A897684,Rosie,2/12/2024 17:38,24-Feb,12/14/2023,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever,Black/White
A897801,,2/12/2024 17:44,24-Feb,11/24/2023,Adoption,,Dog,Neutered Male,2 months,German Shepherd Mix,Brown/Black
A893458,*Jingle,2/12/2024 17:44,24-Feb,8/21/2023,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Black
A897996,Zuri,2/12/2024 18:14,24-Feb,2/10/2023,Return to Owner,,Dog,Spayed Female,1 year,Belgian Malinois,Brown/Black
A897925,Saturn,2/12/2024 18:21,24-Feb,2/8/2022,Adoption,,Cat,Spayed Female,2 years,Siamese,Seal Point
A897584,Rocky,2/12/2024 18:29,24-Feb,12/13/2023,Adoption,,Dog,Neutered Male,1 month,Golden Retriever Mix,Brown/Black
A897492,*Trixie,2/12/2024 19:12,24-Feb,10/18/2023,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Black/White
A897125,*Praline,2/12/2024 20:04,24-Feb,1/27/2022,Adoption,,Dog,Spayed Female,2 years,American Pit Bull Terrier,Blue/White
A897321,F Scott Fitzgerald,2/13/2024 6:55,24-Feb,1/31/2014,Transfer,Partner,Cat,Intact Male,10 years,Domestic Shorthair,Black/White
A898086,,2/13/2024 9:13,24-Feb,2/10/2024,Transfer,Partner,Dog,Intact Female,3 days,Pit Bull,Black/White
A894761,*Carrots,2/13/2024 9:57,24-Feb,12/15/2021,Adoption,Foster,Dog,Neutered Male,2 years,Australian Cattle Dog,White/Brown
A897814,Bjork,2/13/2024 10:59,24-Feb,8/7/2016,Return to Owner,,Cat,Spayed Female,7 years,Domestic Shorthair,Brown Tabby/White
A897746,,2/13/2024 11:17,24-Feb,12/6/2023,Adoption,,Dog,Neutered Male,2 months,Great Pyrenees,White
A898128,Fuzzy Boots,2/13/2024 11:45,24-Feb,12/12/2020,Return to Owner,,Cat,Neutered Male,3 years,Domestic Longhair,Black
A898134,Bb,2/13/2024 12:05,24-Feb,2/13/2022,Return to Owner,,Dog,Neutered Male,2 years,Yorkshire Terrier,Tan/Black
A883635,,2/13/2024 12:19,24-Feb,5/2/2023,Adoption,Foster,Cat,Neutered Male,9 months,Domestic Shorthair,Brown Tabby
A898088,Coco,2/13/2024 12:34,24-Feb,6/12/2023,Return to Owner,,Dog,Intact Male,8 months,Chihuahua Shorthair Mix,White/Tan
A854860,*Smoochi Roo,2/13/2024 12:39,24-Feb,4/10/2020,Transfer,Partner,Dog,Intact Male,3 years,Chow Chow,Black
A895486,*Remy,2/13/2024 12:52,24-Feb,10/14/2023,Adoption,Foster,Dog,Neutered Male,4 months,Australian Cattle Dog,Red Tick
